A1PP;A1Blok;A1Condition;A1timestamp;A1SnMouseAct;A1SnLeftClicked;A1SnRightClicked;A1SnDoubleClicked;A1SnWheel;A1SnDragged;A1SnMouseDistance;A1SnKeyStrokes;A1SnChars;A1SnSpecialKeys;A1SnDirectionKeys;A1SnErrorKeys;A1SnShortcutKeys;A1SnSpaces;A1SnAppChange;A1SnTabfocusChange;A2Blok;A2SnMouseAct;A2SnLeftClicked;A2SnRightClicked;A2SnDoubleClicked;A2SnWheel;A2SnDragged;A2SnMouseDistance;A2SnKeyStrokes;A2SnChars;A2SnSpecialKeys;A2SnDirectionKeys;A2SnErrorKeys;A2SnShortcutKeys;A2SnSpaces;A2SnAppChange;A2SnTabfocusChange;B1Blok;B1Squality;B1Sneutral;B1Shappy;B1Ssad;B1Sangry;B1Ssurprised;B1Sscared;B1Sdisgusted;B1Svalence;B1SyHeadOrientation;B1SxHeadOrientation;B1SzHeadOrientation;B1SmouthOpen;B1SleftEyeClosed;B1SrightEyeClosed;B1SleftEyebrowLowered;B1SleftEyebrowRaised;B1SrightEyebrowLowered;B1SrightEyebrowRaised;B1SgazeDirectionForward;B1SgazeDirectionLeft;B1SgazeDirectionRight;B1SAu01_InnerBrowRaiser;B1SAu02_OuterBrowRaiser;B1SAu04_BrowLowerer;B1SAu05_UpperLidRaiser;B1SAu06_CheekRaiser;B1SAu07_LidTightener;B1SAu09_NoseWrinkler;B1SAu10_UpperLipRaiser;B1SAu12_LipCornerPuller;B1SAu14_Dimpler;B1SAu15_LipCornerDepressor;B1SAu17_ChinRaiser;B1SAu20_LipStretcher;B1SAu23_LipTightener;B1SAu24_LipPressor;B1SAu25_LipsPart;B1SAu26_JawDrop;B1SAu27_MouthStretch;B1SAu43_EyesClosed;B2C;B2Squality;B2Sneutral;B2Shappy;B2Ssad;B2Sangry;B2Ssurprised;B2Sscared;B2Sdisgusted;B2Svalence;B2SyHeadOrientation;B2SxHeadOrientation;B2SzHeadOrientation;B2SmouthOpen;B2SleftEyeClosed;B2SrightEyeClosed;B2SleftEyebrowLowered;B2SleftEyebrowRaised;B2SrightEyebrowLowered;B2SrightEyebrowRaised;B2SgazeDirectionForward;B2SgazeDirectionLeft;B2SgazeDirectionRight;B2SAu01_InnerBrowRaiser;B2SAu02_OuterBrowRaiser;B2SAu04_BrowLowerer;B2SAu05_UpperLidRaiser;B2SAu06_CheekRaiser;B2SAu07_LidTightener;B2SAu09_NoseWrinkler;B2SAu10_UpperLipRaiser;B2SAu12_LipCornerPuller;B2SAu14_Dimpler;B2SAu15_LipCornerDepressor;B2SAu17_ChinRaiser;B2SAu20_LipStretcher;B2SAu23_LipTightener;B2SAu24_LipPressor;B2SAu25_LipsPart;B2SAu26_JawDrop;B2SAu27_MouthStretch;B2SAu43_EyesClosed;DC;DHR;DRMSSD;DSCL
PP6;3;R;20121001T162100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0,85285;0,44347;0,01397;0,25883;0,04251;0,00059;0,00003;0,04427;-0,26639;-5,84854;-5,20693;-2,61374;0,00000;0,00000;0,02020;0,04546;0,01515;0,02525;0,08586;0,82323;0,13636;0,00000;0,01515;0,00000;0,05051;0,00000;0,01515;0,00000;0,77273;0,44444;0,00000;0,20202;0,88889;2,33838;0,00505;0,07071;0,04040;0,00000;0,00000;0,00000;0,00505;3;0,85285;0,44347;0,01396;0,25883;0,04251;0,00059;0,00002;0,04427;-0,26639;-5,84854;-5,20693;-2,61374;0,00000;0,00000;0,02020;0,04545;0,01515;0,02525;0,08586;0,82323;0,13636;0,00000;0,01515;0,00000;0,05051;0,00000;0,01515;0,00000;0,77273;0,44444;0,00000;0,20202;0,88889;2,33838;0,00505;0,07071;0,04040;0,00000;0,00000;0,00000;0,00505;3;57;0,085968;110831872
PP9;3;R;20121004T155600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0,93290;0,86890;0,01742;0,01970;0,08894;0,00293;0,00012;0,00393;-0,08893;-17,49635;-5,10466;4,28026;0,00000;0,00417;0,00000;0,00000;0,97083;0,00000;0,09167;0,94583;0,01250;0,00417;0,23333;0,19167;0,00833;0,00000;0,02500;0,04167;0,00000;0,00833;0,00000;0,00417;0,47083;0,47500;0,02500;0,25000;0,00000;0,00000;0,00000;0,00000;0,00417;3;0,93290;0,86890;0,01742;0,01970;0,08894;0,00293;0,00012;0,00393;-0,08893;-17,49635;-5,10466;4,28026;0,00000;0,00417;0,00000;0,00000;0,97083;0,00000;0,09167;0,94583;0,01250;0,00417;0,23333;0,19167;0,00833;0,00000;0,02500;0,04167;0,00000;0,00833;0,00000;0,00417;0,47083;0,47500;0,02500;0,25000;0,00000;0,00000;0,00000;0,00000;0,00417;3;57;0,059915;978783987
PP7;2;R;20121002T142700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0,93323;0,74756;0,04078;0,07913;0,01504;0,00745;0,00085;0,00042;-0,05177;-1,82811;-10,33383;-1,72279;0,10256;0,00000;0,00000;0,05983;0,00000;0,00000;0,00000;0,80769;0,17094;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,11539;0,00000;0,00000;0,00427;0,00000;0,19231;0,00000;0,00000;0,00000;0,36325;0,00000;0,36752;0,00000;2;0,93323;0,74756;0,04078;0,07913;0,01504;0,00745;0,00085;0,00042;-0,05177;-2,00000;-10,00000;-1,72279;0,10256;0,00000;0,00000;0,05983;0,00000;0,00000;0,00000;0,80769;0,17094;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,11538;0,00000;0,00000;0,00427;0,00000;0,19231;0,00000;0,00000;0,00000;0,36325;0,00000;0,36752;0,00000;2;57;0,086539;230327225
PP13;3;R;20121010T113200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0,93836;0,94154;0,01088;0,00511;0,02135;0,00594;0,00003;0,02965;-0,04004;-12,39628;6,80675;6,25703;0,03226;0,17972;0,08295;0,01383;0,00000;0,01383;0,00461;0,76037;0,00922;0,15207;0,00461;0,00922;0,03687;0,02765;0,00000;1,08295;0,11982;0,09677;0,00000;0,04608;0,00461;0,12903;0,12442;0,00000;0,00000;0,06452;0,00000;0,08295;0,19816;3;0,93836;0,94154;0,01087;0,00511;0,02135;0,00594;0,00003;0,02965;-0,04004;-12,39628;6,80675;6,25702;0,03226;0,17972;0,08295;0,01382;0,00000;0,01382;0,00461;0,76037;0,00922;0,15207;0,00461;0,00922;0,03687;0,02765;0,00000;1,08295;0,11982;0,09677;0,00000;0,04608;0,00461;0,12903;0,12442;0,00000;0,00000;0,06452;0,00000;0,08295;0,19816;3;57;0,191877;246728257
PP6;2;I;20121001T153800000;12;0;0;0;12;0;7,02E+15;129;78;51;4;6;0;15;8;1;2;12;0;0;0;12;0;7,02E+15;129;78;51;4;6;0;15;8;1;2;0,95298;0,39341;0,00010;0,20020;0,14694;0,00259;0,00001;0,01928;-0,27550;-5,02754;-2,91532;-5,58343;0,00000;0,01255;0,00000;0,69038;0,00000;0,34728;0,00000;0,93724;0,02092;0,00837;0,05439;0,00000;1,11716;0,00000;0,00000;0,12134;0,02929;0,06276;0,00000;0,00418;3,87029;3,53138;0,00000;0,41004;0,00000;0,00000;0,00000;0,00000;0,04603;2;0,95298;0,39341;0,00010;0,20020;0,14694;0,00259;0,00001;0,01928;-0,27550;-5,02753;-2,91532;-5,58343;0,00000;0,01255;0,00000;0,69038;0,00000;0,34728;0,00000;0,93724;0,02092;0,00837;0,05439;0,00000;1,11715;0,00000;0,00000;0,12134;0,02929;0,06276;0,00000;0,00418;3,87029;3,53138;0,00000;0,41004;0,00000;0,00000;0,00000;0,00000;0,04603;2;57;0,10874;113113268
PP13;2;T;20121010T105300000;39;16;2;0;13;4;4,46E+15;4;0;4;0;2;0;0;8;5;0;39;16;2;0;13;4;4,46E+15;4;0;4;0;2;0;0;8;5;2;0,95520;0,94876;0,03528;0,00326;0,00369;0,00818;0,00003;0,00252;0,03040;-7,95090;6,16437;3,06903;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,96667;0,00000;0,02083;0,00000;2,97917;0,00000;0,00000;0,00000;0,00000;0,00417;0,00000;0,00000;0,00000;0,00417;0,02917;0,22083;0,00833;0,00000;0,00000;0,00000;0,00000;0,00000;2;0,95520;0,94875;0,03528;0,00326;0,00369;0,00818;0,00003;0,00252;0,03040;-7,95090;6,16437;3,06903;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,96667;0,00000;0,02083;0,00000;2,97917;0,00000;0,00000;0,00000;0,00000;0,00417;0,00000;0,00000;0,00000;0,00417;0,02917;0,22083;0,00833;0,00000;0,00000;0,00000;0,00000;0,00000;2;57;0,064561;20622481
PP1;3;I;20120918T153600000;3;2;0;0;1;0;2,21E+15;125;98;27;0;3;0;20;2;0;3;3;2;0;0;1;0;2,21E+15;125;98;27;0;3;0;20;2;0;3;0,87250;0,92500;0,03339;0,00517;0,00607;0,00623;0,00013;0,00041;0,02446;-7,06728;-8,31802;1,80451;0,00000;0,04167;0,09167;0,24167;0,14167;0,26250;0,00000;0,57083;0,40833;0,00000;0,00000;0,00000;0,42083;0,32500;0,00000;0,00000;0,00000;0,00833;0,00000;0,07083;0,00417;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,06667;3;0,87250;0,92500;0,03339;0,00517;0,00607;0,00623;0,00013;0,00041;0,02446;-7,06728;-8,31802;1,80451;0,00000;0,04167;0,09167;0,24167;0,14167;0,26250;0,00000;0,57083;0,40833;0,00000;0,00000;0,00000;0,42083;0,32500;0,00000;0,00000;0,00000;0,00833;0,00000;0,07083;0,00417;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,06667;3;58;0,057015;71673855
PP1;3;I;20120918T154400000;14;3;0;0;7;2;9,70E+15;58;44;14;0;7;0;6;2;0;3;14;3;0;0;7;2;9,70E+15;58;44;14;0;7;0;6;2;0;3;0,89496;0,87137;0,04175;0,02448;0,00359;0,00568;0,00041;0,00183;0,01551;-4,93277;-3,42164;1,04741;0,00000;0,12971;0,09623;0,25941;0,23431;0,17573;0,00000;0,69038;0,26360;0,00837;0,00000;0,00000;0,56485;0,35146;0,00000;0,00000;0,00000;0,17992;0,00000;0,41423;0,02929;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,07531;3;0,89496;0,87137;0,04175;0,02448;0,00359;0,00568;0,00041;0,00183;0,01551;-4,93277;-3,42163;1,04741;0,00000;0,12971;0,09623;0,25941;0,23431;0,17573;0,00000;0,69038;0,26360;0,00837;0,00000;0,00000;0,56485;0,35146;0,00000;0,00000;0,00000;0,17992;0,00000;0,41423;0,02929;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,07531;3;58;0,161088;66915312
PP4;1;N;20120925T133000000;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;3;1;0,90329;0,92493;0,04087;0,00402;0,02639;0,00072;0,00000;0,00545;0,01445;-23,97759;-1,61590;-5,88396;0,00000;0,00000;0,00000;0,00000;0,14040;0,00000;0,00000;0,99140;0,00000;0,00143;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,46275;0,00000;0,00000;0,00000;2,99570;1,07163;0,00000;0,00000;0,00000;0,00000;1;0,90329;0,92493;0,04087;0,00402;0,02639;0,00072;0,00000;0,00545;0,01445;-23,97759;-1,61590;-5,88396;0,00000;0,00000;0,00000;0,00000;0,14040;0,00000;0,00000;0,99140;0,00000;0,00143;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,46275;0,00000;0,00000;0,00000;2,99570;1,07163;0,00000;0,00000;0,00000;0,00000;1;58;0,093757;119071484
PP4;3;T;20120925T155500000;36;23;1;0;0;6;2,41E+16;3;2;1;0;0;0;0;6;2;3;36;23;1;0;0;6;2,41E+16;3;2;1;0;0;0;0;6;2;3;0,94096;0,96688;0,02180;0,00395;0,00777;0,00473;0,00001;0,00793;0,00957;-10,09075;-4,21414;-3,56899;0,00000;0,01255;0,00000;0,00000;0,16318;0,00000;0,00000;0,98326;0,01255;0,00000;0,02092;2,56485;0,00000;0,00000;0,00000;0,03347;0,00000;0,13808;0,00000;1,65690;0,79498;0,23849;0,00837;0,00000;0,00000;0,00000;0,00000;0,00000;0,02511;3;0,94096;0,96688;0,02180;0,00395;0,00777;0,00473;0,00001;0,00793;0,00956;-10,09075;-4,21413;-3,56899;0,00000;0,01255;0,00000;0,00000;0,16318;0,00000;0,00000;0,98326;0,01255;0,00000;0,02092;2,56485;0,00000;0,00000;0,00000;0,03347;0,00000;0,13808;0,00000;1,65690;0,79498;0,23849;0,00837;0,00000;0,00000;0,00000;0,00000;0,00000;0,02510;3;58;0,19452;221169894
