A1PP;A1Blok;A1Condition;A1timestamp;A1SnMouseAct;A1SnLeftClicked;A1SnRightClicked;A1SnDoubleClicked;A1SnWheel;A1SnDragged;A1SnMouseDistance;A1SnKeyStrokes;A1SnChars;A1SnSpecialKeys;A1SnDirectionKeys;A1SnErrorKeys;A1SnShortcutKeys;A1SnSpaces;A1SnAppChange;A1SnTabfocusChange;A2Blok;A2Condition;A2SnMouseAct;A2SnLeftClicked;A2SnRightClicked;A2SnDoubleClicked;A2SnWheel;A2SnDragged;A2SnMouseDistance;A2SnMouseDistance;A2SnKeyStrokes;A2SnChars;A2SnSpecialKeys;A2SnDirectionKeys;A2SnErrorKeys;A2SnShortcutKeys;A2SnSpaces;A2SnAppChange;A2SnTabfocusChange;B1Blok;B1Condition;B1Squality;B1Sneutral;B1Shappy;B1Ssad;B1Sangry;B1Ssurprised;B1Sscared;B1Sdisgusted;B1Svalence;B1SyHeadOrientation;B1SxHeadOrientation;B1SzHeadOrientation;B1SmouthOpen;B1SleftEyeClosed;B1SrightEyeClosed;B1SleftEyebrowLowered;B1SleftEyebrowRaised;B1SrightEyebrowLowered;B1SrightEyebrowRaised;B1SgazeDirectionForward;B1SgazeDirectionLeft;B1SgazeDirectionRight;B1SAu01_InnerBrowRaiser;B1SAu02_OuterBrowRaiser;B1SAu04_BrowLowerer;B1SAu05_UpperLidRaiser;B1SAu06_CheekRaiser;B1SAu07_LidTightener;B1SAu09_NoseWrinkler;B1SAu10_UpperLipRaiser;B1SAu12_LipCornerPuller;B1SAu14_Dimpler;B1SAu15_LipCornerDepressor;B1SAu17_ChinRaiser;B1SAu20_LipStretcher;B1SAu23_LipTightener;B1SAu24_LipPressor;B1SAu25_LipsPart;B1SAu26_JawDrop;B1SAu27_MouthStretch;B1SAu43_EyesClosed;B2C;B2Squality;B2Sneutral;B2Shappy;B2Ssad;B2Sangry;B2Ssurprised;B2Sscared;B2Sdisgusted;B2Svalence;B2SyHeadOrientation;B2SxHeadOrientation;B2SzHeadOrientation;B2SmouthOpen;B2SleftEyeClosed;B2SrightEyeClosed;B2SleftEyebrowLowered;B2SleftEyebrowRaised;B2SrightEyebrowLowered;B2SrightEyebrowRaised;B2SgazeDirectionForward;B2SgazeDirectionLeft;B2SgazeDirectionRight;B2SAu01_InnerBrowRaiser;B2SAu02_OuterBrowRaiser;B2SAu04_BrowLowerer;B2SAu05_UpperLidRaiser;B2SAu06_CheekRaiser;B2SAu07_LidTightener;B2SAu09_NoseWrinkler;B2SAu10_UpperLipRaiser;B2SAu12_LipCornerPuller;B2SAu14_Dimpler;B2SAu15_LipCornerDepressor;B2SAu17_ChinRaiser;B2SAu20_LipStretcher;B2SAu23_LipTightener;B2SAu24_LipPressor;B2SAu25_LipsPart;B2SAu26_JawDrop;B2SAu27_MouthStretch;B2SAu43_EyesClosed;DC;DCondition;DHR;DRMSSD;DSCL
PP6;3;R;20121001T162100000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;R;0,852848;0,443469;0,013965;0,258831;0,04251;0,000593;0,000025;0,044273;-0,266387;-5,848542;-5,206929;-2,613736;0;0;0,020202;0,045455;0,015152;0,025253;0,085859;0,823232;0,136364;0;0,015152;0;0,050505;0;0,015152;0;0,772727;0,444444;0;0,20202;0,888889;2,338384;0,005051;0,070707;0,040404;0;0;0;0,005051;3;0,852848411;0,443469021;0,013964587;0,258831273;0,042510018;0,000593;0,0000246;0,044273181;-0,266387054;-5,848542007;-5,206929453;-2,613736289;0;0;0,02020202;0,045454545;0,015151515;0,025252525;0,085858586;0,823232323;0,136363636;0;0,015151515;0;0,050505051;0;0,015151515;0;0,772727273;0,444444444;0;0,202020202;0,888888889;2,338383838;0,005050505;0,070707071;0,04040404;0;0;0;0,005050505;3;R;57;0.085968;110831872
PP9;3;R;20121004T155600000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;R;0,932902;0,868901;0,017416;0,019702;0,088941;0,002926;0,000121;0,003932;-0,088928;-17,496353;-5,104657;4,280255;0;0,004167;0;0;0,970833;0;0,091667;0,945833;0,0125;0,004167;0,233333;0,191667;0,008333;0;0,025;0,041667;0;0,008333;0;0,004167;0,470833;0,475;0,025;0,25;0;0;0;0;0,004167;3;0,932902002;0,868901294;0,01741604;0,019701523;0,088941233;0,002926423;0,000121;0,003932091;-0,088927514;-17,49635303;-5,104656891;4,280255479;0;0,004166667;0;0;0,970833333;0;0,091666667;0,945833333;0,0125;0,004166667;0,233333333;0,191666667;0,008333333;0;0,025;0,041666667;0;0,008333333;0;0,004166667;0,470833333;0,475;0,025;0,25;0;0;0;0;0,004166667;3;R;57;0.059915;978783987
PP7;2;R;20121002T142700000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;R;0,93323;0,747559;0,040783;0,079131;0,015037;0,007454;0,000845;0,000424;-0,051766;-1,828112;-10,333833;-1,722787;0,102564;0;0;0,059829;0;0;0;0,807692;0,17094;0;0;0;0;0;0;0;0,115385;0;0;0,004274;0;0,192308;0;0;0;0,363248;0;0,367521;0;2;0,933229665;0,747558902;0,040783476;0,079130824;0,015037385;0,007453887;0,000845;0,000424;-0,051766373;-2;-10;-1,722786876;0,102564103;0;0;0,05982906;0;0;0;0,807692308;0,170940171;0;0;0;0;0;0;0;0,115384615;0;0;0,004273504;0;0,192307692;0;0;0;0,363247863;0;0,367521368;0;2;R;57;0.086539;230327225
PP13;3;R;20121010T113200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;R;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;R;0,938361;0,941543;0,010875;0,00511;0,021354;0,005942;0,000026;0,029646;-0,040035;-12,396283;6,806752;6,257025;0,032258;0,179724;0,082949;0,013825;0;0,013825;0,004608;0,760369;0,009217;0,152074;0,004608;0,009217;0,036866;0,02765;0;1,082949;0,119816;0,096774;0;0,046083;0,004608;0,129032;0,124424;0;0;0,064516;0;0,082949;0,198157;3;0,938361412;0,941543368;0,010874727;0,005109831;0,021354051;0,005942422;0,0000259;0,029646375;-0,040035219;-12,39628254;6,806752452;6,257024867;0,032258065;0,179723502;0,082949309;0,013824885;0;0,013824885;0,004608295;0,760368664;0,00921659;0,152073733;0,004608295;0,00921659;0,036866359;0,02764977;0;1,082949309;0,119815668;0,096774194;0;0,046082949;0,004608295;0,129032258;0,124423963;0;0;0,064516129;0;0,082949309;0,198156682;3;R;57;0.191877;246728257
PP6;2;I;20121001T153800000;12;0;0;0;12;0;7.015.929.304.550.800;129;78;51;4;6;0;15;8;1;2;I;12;0;0;0;12;0;7,02E+15;7016;129;78;51;4;6;0;15;8;1;2;I;0,952979;0,393406;0,000097;0,200196;0,146941;0,00259;0,000006;0,019276;-0,275502;-5,027535;-2,915315;-5,583431;0;0,012552;0;0,690377;0;0,34728;0;0,937238;0,020921;0,008368;0,054393;0;1,117155;0;0;0,121339;0,029289;0,062762;0;0,004184;3,870293;3,531381;0;0,410042;0;0;0;0;0,046025;2;0,952978995;0,393405643;0,0000973;0,200195582;0,146940711;0,002589532;0,00000622;0,019276166;-0,275501862;-5,027534928;-2,915315094;-5,583431421;0;0,012552301;0;0,690376569;0;0,347280335;0;0,937238494;0,020920502;0,008368201;0,054393305;0;1,117154812;0;0;0,121338912;0,029288703;0,062761506;0;0,0041841;3,870292887;3,531380753;0;0,410041841;0;0;0;0;0,046025105;2;I;57;0.10874;113113268
PP13;2;T;20121010T105300000;39;16;2;0;13;4;4.461.851.765.019.350;4;0;4;0;2;0;0;8;5;0;T;39;16;2;0;13;4;4,46E+15;4462;4;0;4;0;2;0;0;8;5;2;T;0,955203;0,948755;0,035275;0,003261;0,003694;0,00818;0,000027;0,002518;0,030398;-7,950896;6,16437;3,069034;0;0;0;0;0;0;0;0,966667;0;0,020833;0;2,979167;0;0;0;0;0,004167;0;0;0;0,004167;0,029167;0,220833;0,008333;0;0;0;0;0;2;0,955203108;0,94875454;0,035275439;0,003260557;0,003693859;0,008180019;0,0000266;0,002518315;0,030397551;-7,950895968;6,164370325;3,069033805;0;0;0;0;0;0;0;0,966666667;0;0,020833333;0;2,979166667;0;0;0;0;0,004166667;0;0;0;0,004166667;0,029166667;0,220833333;0,008333333;0;0;0;0;0;2;T;57;0.064561;20622481
PP1;3;I;20120918T153600000;3;2;0;0;1;0;2.207.419.466.013.580;125;98;27;0;3;0;20;2;0;3;I;3;2;0;0;1;0;2,21E+15;2207;125;98;27;0;3;0;20;2;0;3;I;0,872495;0,924996;0,033387;0,005167;0,006065;0,006229;0,000126;0,000406;0,024456;-7,067283;-8,318016;1,804512;0;0,041667;0,091667;0,241667;0,141667;0,2625;0;0,570833;0,408333;0;0;0;0,420833;0,325;0;0;0;0,008333;0;0,070833;0,004167;0;0;0;0;0;0;0;0,066667;3;0,872495155;0,924995743;0,033387235;0,005166526;0,006065256;0,006229353;0,000126;0,000406;0,024455814;-7,067283151;-8,318015675;1,804512237;0;0,041666667;0,091666667;0,241666667;0,141666667;0,2625;0;0,570833333;0,408333333;0;0;0;0,420833333;0,325;0;0;0;0,008333333;0;0,070833333;0,004166667;0;0;0;0;0;0;0;0,066666667;3;I;58;0.057015;71673855
PP1;3;I;20120918T154400000;14;3;0;0;7;2;9.703.812.274.164.770;58;44;14;0;7;0;6;2;0;3;I;14;3;0;0;7;2;9,70E+15;9704;58;44;14;0;7;0;6;2;0;3;I;0,894957;0,871367;0,041748;0,024479;0,003594;0,005678;0,000409;0,001827;0,015511;-4,932769;-3,421635;1,047409;0;0,129707;0,096234;0,259414;0,23431;0,175732;0;0,690377;0,263598;0,008368;0;0;0,564854;0,351464;0;0;0;0,179916;0;0,414226;0,029289;0;0;0;0;0;0;0;0,075314;3;0,894956955;0,871366839;0,041748374;0,024479471;0,003593675;0,005678336;0,000409;0,001826699;0,015511025;-4,932768537;-3,421634631;1,047409159;0;0,129707113;0,09623431;0,259414226;0,234309623;0,175732218;0;0,690376569;0,263598326;0,008368201;0;0;0,564853556;0,351464435;0;0;0;0,179916318;0;0,414225941;0,029288703;0;0;0;0;0;0;0;0,075313808;3;I;58;0.161088;66915312
PP4;1;N;20120925T133000000;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;3;1;N;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;3;1;N;0,903287;0,92493;0,040872;0,00402;0,026387;0,000719;0,000002;0,005445;0,014453;-23,977589;-1,615904;-5,883964;0;0;0;0;0,140401;0;0;0,991404;0;0,001433;0;0;0;0;0;0;0;0;0;0,462751;0;0;0;2,995702;1,071633;0;0;0;0;1;0,903287338;0,924930267;0,040872485;0,004020126;0,026387068;0,000719;0,00000241;0,005445444;0,01445347;-23,97758881;-1,615904481;-5,883964451;0;0;0;0;0,140401146;0;0;0,991404011;0;0,001432665;0;0;0;0;0;0;0;0;0;0,462750716;0;0;0;2,995702006;1,071633238;0;0;0;0;1;N;58;0.093757;119071484
PP4;3;T;20120925T155500000;36;23;1;0;0;6;24.147.297.811.785.700;3;2;1;0;0;0;0;6;2;3;T;36;23;1;0;0;6;2,41E+16;24147;3;2;1;0;0;0;0;6;2;3;T;0,940955;0,966883;0,021799;0,003946;0,007766;0,004734;0,000013;0,007933;0,009565;-10,090745;-4,214135;-3,568988;0;0,012552;0;0;0,16318;0;0;0,983264;0,012552;0;0,020921;2,564854;0;0;0;0,033473;0;0,138075;0;1,656904;0,794979;0,238494;0,008368;0;0;0;0;0;0,025105;3;0,940955291;0,966883287;0,021798742;0,003945538;0,00776632;0,004734484;0,0000133;0,007933185;0,009564666;-10,09074543;-4,214134707;-3,568987897;0;0,012552301;0;0;0,163179916;0;0;0,983263598;0,012552301;0;0,020920502;2,564853556;0;0;0;0,033472803;0;0,138075314;0;1,656903766;0,794979079;0,238493724;0,008368201;0;0;0;0;0;0,025104603;3;T;58;0.19452;221169894
